district,address,boomTime,lat,lon,state_code
大同區,承德路2段與南京西路口,105-10-3,25.053328,121.5176323,554026969
大同區,民權西路253號,105-1-20,25.0632976,121.51022749999998,554226987
大同區,民權西路與蘭州街口,105-2-23,25.062889,121.5147047,554226988
大同區,西寧北路與忠孝西路1段口,105-2-25,25.0526962,121.50863429999998,554026966
大同區,重慶北路3段318號,105-2-14,25.0742632,121.5132821,554527007
大同區,重慶北路3段與民族西路口,105-3-4,25.0686418,121.5138172,554326998
大同區,南京西路與環河北路1段口,105-3-4,25.053735600000003,121.5075005,554026968
大同區,鄭州路與西寧北路口,105-2-15,25.050385,121.5097864,553926961
大同區,延平北路2段與歸綏街口,105-2-15,25.0582238,121.5105935,554126978
大同區,民權西路與蘭州街口,105-2-15,25.062889,121.5147047,554226988
大同區,承德路3段與昌吉街口,105-2-26,25.0660079,121.5181533,554326994
大同區,民生西路與雙連街口,105-3-3,25.0577926,121.5192158,554126979
大同區,承德路2段與民權西路口,105-2-27,25.0629867,121.5182325,554226989
大同區,民權西路125號,105-2-27,25.0631595,121.5173273,554226989
大同區,承德路3段與民權西路口,105-3-4,25.064326,121.5188314,554226991
大同區,重慶北路2段與南京西路口,105-3-12,25.054553,121.511596,554026970
大同區,延平北路2段38號,105-3-21,25.054975100000004,121.5115962,554026971
大同區,民生西路與興城街口,105-2-3,25.057674,121.517832,554126978
大同區,承德路3段與民權西路口,105-2-16,25.064326,121.5188314,554226991
大同區,天水路20號,105-3-22,25.0527525,121.5131013,554026967
大同區,南京西路與延平北路2段口,105-2-15,25.0538882,121.5117594,554026969
